funcid,dim,milestone,error
15,10,1,1.467342e+04
15,10,2,9.482288e+03
15,10,3,3.216047e+03
15,10,5,3.092280e+03
15,10,10,8.789313e+02
15,10,20,6.564706e+02
15,10,30,6.564706e+02
15,10,40,6.564706e+02
15,10,50,6.564706e+02
15,10,60,6.564706e+02
15,10,70,6.564706e+02
15,10,80,6.564706e+02
15,10,90,6.564706e+02
15,10,100,6.564706e+02
