funcid,dim,milestone,error
5,10,1,4.098968e+02
5,10,2,4.098967e+02
5,10,3,4.098967e+02
5,10,5,4.098967e+02
5,10,10,4.098967e+02
5,10,20,4.098967e+02
5,10,30,4.098967e+02
5,10,40,4.098967e+02
5,10,50,1.950075e+02
5,10,60,1.950075e+02
5,10,70,1.950075e+02
5,10,80,1.950075e+02
5,10,90,1.950075e+02
5,10,100,1.950075e+02
5,10,1,4.098968e+02
5,10,2,4.098967e+02
5,10,3,4.098967e+02
5,10,5,4.098967e+02
5,10,10,4.098967e+02
5,10,20,4.098967e+02
5,10,30,4.098967e+02
5,10,40,4.098967e+02
5,10,50,1.950075e+02
5,10,60,1.950075e+02
5,10,70,1.950075e+02
5,10,80,1.950075e+02
5,10,90,1.950075e+02
5,10,100,1.950075e+02
