funcid,dim,milestone,error
9,10,1,1.554984e+03
9,10,2,1.373264e+03
9,10,3,1.360378e+03
9,10,5,1.360032e+03
9,10,10,1.359940e+03
9,10,20,1.359891e+03
9,10,30,1.359891e+03
9,10,40,1.359891e+03
9,10,50,1.359891e+03
9,10,60,1.359891e+03
9,10,70,1.359891e+03
9,10,80,1.359891e+03
9,10,90,1.359891e+03
9,10,100,1.359891e+03
9,10,1,1.554984e+03
9,10,2,1.373264e+03
9,10,3,1.360378e+03
9,10,5,1.360032e+03
9,10,10,1.359940e+03
9,10,20,1.359891e+03
9,10,30,1.359891e+03
9,10,40,1.359891e+03
9,10,50,1.359891e+03
9,10,60,1.359891e+03
9,10,70,1.359891e+03
9,10,80,1.359891e+03
9,10,90,1.359891e+03
9,10,100,1.359891e+03
