funcid,dim,milestone,error
20,10,1,6.734627e+02
20,10,2,6.734627e+02
20,10,3,6.734627e+02
20,10,5,6.734627e+02
20,10,10,6.734627e+02
20,10,20,6.734627e+02
20,10,30,2.333455e+02
20,10,40,2.333455e+02
20,10,50,2.333455e+02
20,10,60,2.333455e+02
20,10,70,2.333455e+02
20,10,80,2.333455e+02
20,10,90,2.333455e+02
20,10,100,2.333455e+02
20,10,1,6.734627e+02
20,10,2,6.734627e+02
20,10,3,6.734627e+02
20,10,5,6.734627e+02
20,10,10,6.734627e+02
20,10,20,6.734627e+02
20,10,30,2.333455e+02
20,10,40,2.333455e+02
20,10,50,2.333455e+02
20,10,60,2.333455e+02
20,10,70,2.333455e+02
20,10,80,2.333455e+02
20,10,90,2.333455e+02
20,10,100,2.333455e+02
