funcid,dim,milestone,error
8,10,1,7.263161e+01
8,10,2,7.263158e+01
8,10,3,7.263158e+01
8,10,5,7.263158e+01
8,10,10,7.263158e+01
8,10,20,7.263158e+01
8,10,30,7.263158e+01
8,10,40,7.263158e+01
8,10,50,7.263158e+01
8,10,60,7.263158e+01
8,10,70,7.263158e+01
8,10,80,7.263158e+01
8,10,90,7.263158e+01
8,10,100,7.263158e+01
8,10,1,7.263161e+01
8,10,2,7.263158e+01
8,10,3,7.263158e+01
8,10,5,7.263158e+01
8,10,10,7.263158e+01
8,10,20,7.263158e+01
8,10,30,7.263158e+01
8,10,40,7.263158e+01
8,10,50,7.263158e+01
8,10,60,7.263158e+01
8,10,70,7.263158e+01
8,10,80,7.263158e+01
8,10,90,7.263158e+01
8,10,100,7.263158e+01
