funcid,dim,milestone,error
24,10,1,1.919688e+02
24,10,2,1.418959e+02
24,10,3,1.005958e+02
24,10,5,1.000000e+02
24,10,10,1.000000e+02
24,10,20,1.000000e+02
24,10,30,1.000000e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,1.919688e+02
24,10,2,1.418959e+02
24,10,3,1.005958e+02
24,10,5,1.000000e+02
24,10,10,1.000000e+02
24,10,20,1.000000e+02
24,10,30,1.000000e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
