funcid,dim,milestone,error
12,10,1,6.413651e+06
12,10,2,5.995989e+06
12,10,3,5.610844e+06
12,10,5,4.827903e+06
12,10,10,3.451508e+06
12,10,20,1.592148e+06
12,10,30,1.592148e+06
12,10,40,1.172252e+06
12,10,50,3.374770e+04
12,10,60,2.006216e+04
12,10,70,2.006216e+04
12,10,80,2.006216e+04
12,10,90,2.006216e+04
12,10,100,2.006216e+04
12,10,1,6.413651e+06
12,10,2,5.995989e+06
12,10,3,5.610844e+06
12,10,5,4.827903e+06
12,10,10,3.451508e+06
12,10,20,1.592148e+06
12,10,30,1.592148e+06
12,10,40,1.172252e+06
12,10,50,3.374770e+04
12,10,60,2.006216e+04
12,10,70,2.006216e+04
12,10,80,2.006216e+04
12,10,90,2.006216e+04
12,10,100,2.006216e+04
