funcid,dim,milestone,error
1,10,1,1.191627e+04
1,10,2,1.681818e+03
1,10,3,1.681787e+03
1,10,5,1.681737e+03
1,10,10,1.681618e+03
1,10,20,1.681367e+03
1,10,30,1.681367e+03
1,10,40,1.681367e+03
1,10,50,1.681367e+03
1,10,60,1.681367e+03
1,10,70,1.681367e+03
1,10,80,1.681367e+03
1,10,90,1.681367e+03
1,10,100,1.681367e+03
1,10,1,1.191627e+04
1,10,2,1.681818e+03
1,10,3,1.681787e+03
1,10,5,1.681737e+03
1,10,10,1.681618e+03
1,10,20,1.681367e+03
1,10,30,1.681367e+03
1,10,40,1.681367e+03
1,10,50,1.681367e+03
1,10,60,1.681367e+03
1,10,70,1.681367e+03
1,10,80,1.681367e+03
1,10,90,1.681367e+03
1,10,100,1.681367e+03
