funcid,dim,milestone,error
3,10,1,3.986127e+04
3,10,2,2.445281e+04
3,10,3,1.315870e+04
3,10,5,3.699598e+03
3,10,10,1.001518e+00
3,10,20,9.941914e-11
3,10,30,9.941914e-11
3,10,40,9.941914e-11
3,10,50,9.941914e-11
3,10,60,5.184120e-11
3,10,70,5.184120e-11
3,10,80,5.184120e-11
3,10,90,5.184120e-11
3,10,100,5.184120e-11
3,10,1,3.986127e+04
3,10,2,2.445281e+04
3,10,3,1.315870e+04
3,10,5,3.699598e+03
3,10,10,1.001518e+00
3,10,20,9.941914e-11
3,10,30,9.941914e-11
3,10,40,9.941914e-11
3,10,50,9.941914e-11
3,10,60,5.184120e-11
3,10,70,5.184120e-11
3,10,80,5.184120e-11
3,10,90,5.184120e-11
3,10,100,5.184120e-11
