funcid,dim,milestone,error
13,10,1,1.662849e+04
13,10,2,1.662378e+04
13,10,3,1.662010e+04
13,10,5,1.661249e+04
13,10,10,1.659512e+04
13,10,20,1.656009e+04
13,10,30,1.656009e+04
13,10,40,1.656009e+04
13,10,50,1.656009e+04
13,10,60,1.656009e+04
13,10,70,9.175643e+02
13,10,80,9.169986e+02
13,10,90,9.169986e+02
13,10,100,9.169986e+02
13,10,1,1.662849e+04
13,10,2,1.662378e+04
13,10,3,1.662010e+04
13,10,5,1.661249e+04
13,10,10,1.659512e+04
13,10,20,1.656009e+04
13,10,30,1.656009e+04
13,10,40,1.656009e+04
13,10,50,1.656009e+04
13,10,60,1.656009e+04
13,10,70,9.175643e+02
13,10,80,9.169986e+02
13,10,90,9.169986e+02
13,10,100,9.169986e+02
