funcid,dim,milestone,error
19,10,1,1.567353e+06
19,10,2,9.136398e+05
19,10,3,6.518269e+05
19,10,5,3.890331e+05
19,10,10,1.892115e+05
19,10,20,8.361502e+04
19,10,30,4.931540e+04
19,10,40,3.350363e+04
19,10,50,3.350363e+04
19,10,60,3.350363e+04
19,10,70,3.350363e+04
19,10,80,3.350363e+04
19,10,90,3.350363e+04
19,10,100,3.350363e+04
19,10,1,1.567353e+06
19,10,2,9.136398e+05
19,10,3,6.518269e+05
19,10,5,3.890331e+05
19,10,10,1.892115e+05
19,10,20,8.361502e+04
19,10,30,4.931540e+04
19,10,40,3.350363e+04
19,10,50,3.350363e+04
19,10,60,3.350363e+04
19,10,70,3.350363e+04
19,10,80,3.350363e+04
19,10,90,3.350363e+04
19,10,100,3.350363e+04
