funcid,dim,milestone,error
16,10,1,9.176166e+02
16,10,2,8.303960e+02
16,10,3,8.045207e+02
16,10,5,7.886811e+02
16,10,10,7.812840e+02
16,10,20,7.776741e+02
16,10,30,5.741396e+02
16,10,40,5.517988e+02
16,10,50,5.517988e+02
16,10,60,5.517988e+02
16,10,70,5.517988e+02
16,10,80,5.517988e+02
16,10,90,5.517988e+02
16,10,100,5.517988e+02
16,10,1,9.176166e+02
16,10,2,8.303960e+02
16,10,3,8.045207e+02
16,10,5,7.886811e+02
16,10,10,7.812840e+02
16,10,20,7.776741e+02
16,10,30,5.741396e+02
16,10,40,5.517988e+02
16,10,50,5.517988e+02
16,10,60,5.517988e+02
16,10,70,5.517988e+02
16,10,80,5.517988e+02
16,10,90,5.517988e+02
16,10,100,5.517988e+02
