funcid,dim,milestone,error
23,10,1,8.274302e+02
23,10,2,8.274302e+02
23,10,3,8.274302e+02
23,10,5,8.274302e+02
23,10,10,8.274302e+02
23,10,20,8.274302e+02
23,10,30,7.768349e+02
23,10,40,7.768349e+02
23,10,50,6.854662e+02
23,10,60,6.854662e+02
23,10,70,6.854662e+02
23,10,80,6.854662e+02
23,10,90,4.166749e+02
23,10,100,4.166749e+02
23,10,1,8.274302e+02
23,10,2,8.274302e+02
23,10,3,8.274302e+02
23,10,5,8.274302e+02
23,10,10,8.274302e+02
23,10,20,8.274302e+02
23,10,30,7.768349e+02
23,10,40,7.768349e+02
23,10,50,6.854662e+02
23,10,60,6.854662e+02
23,10,70,6.854662e+02
23,10,80,6.854662e+02
23,10,90,4.166749e+02
23,10,100,4.166749e+02
