funcid,dim,milestone,error
28,10,1,7.721282e+02
28,10,2,7.721282e+02
28,10,3,7.721282e+02
28,10,5,7.721282e+02
28,10,10,7.721282e+02
28,10,20,7.721282e+02
28,10,30,3.000000e+02
28,10,40,3.000000e+02
28,10,50,3.000000e+02
28,10,60,3.000000e+02
28,10,70,3.000000e+02
28,10,80,3.000000e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
28,10,1,7.721282e+02
28,10,2,7.721282e+02
28,10,3,7.721282e+02
28,10,5,7.721282e+02
28,10,10,7.721282e+02
28,10,20,7.721282e+02
28,10,30,3.000000e+02
28,10,40,3.000000e+02
28,10,50,3.000000e+02
28,10,60,3.000000e+02
28,10,70,3.000000e+02
28,10,80,3.000000e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
