funcid,dim,milestone,error
10,10,1,2.040536e+03
10,10,2,2.040534e+03
10,10,3,2.040534e+03
10,10,5,2.040534e+03
10,10,10,2.040534e+03
10,10,20,2.040534e+03
10,10,30,2.040534e+03
10,10,40,2.040534e+03
10,10,50,2.040534e+03
10,10,60,2.040534e+03
10,10,70,1.735222e+03
10,10,80,1.735222e+03
10,10,90,1.735222e+03
10,10,100,1.735222e+03
10,10,1,2.040536e+03
10,10,2,2.040534e+03
10,10,3,2.040534e+03
10,10,5,2.040534e+03
10,10,10,2.040534e+03
10,10,20,2.040534e+03
10,10,30,2.040534e+03
10,10,40,2.040534e+03
10,10,50,2.040534e+03
10,10,60,2.040534e+03
10,10,70,1.735222e+03
10,10,80,1.735222e+03
10,10,90,1.735222e+03
10,10,100,1.735222e+03
