funcid,dim,milestone,error
30,10,1,1.636860e+06
30,10,2,9.687378e+05
30,10,3,7.864502e+05
30,10,5,5.304657e+05
30,10,10,2.970191e+05
30,10,20,1.479455e+05
30,10,30,1.025418e+05
30,10,40,6.530065e+04
30,10,50,6.530065e+04
30,10,60,6.530065e+04
30,10,70,6.530065e+04
30,10,80,6.530065e+04
30,10,90,6.530065e+04
30,10,100,6.530065e+04
30,10,1,1.636860e+06
30,10,2,9.687378e+05
30,10,3,7.864502e+05
30,10,5,5.304657e+05
30,10,10,2.970191e+05
30,10,20,1.479455e+05
30,10,30,1.025418e+05
30,10,40,6.530065e+04
30,10,50,6.530065e+04
30,10,60,6.530065e+04
30,10,70,6.530065e+04
30,10,80,6.530065e+04
30,10,90,6.530065e+04
30,10,100,6.530065e+04
