funcid,dim,milestone,error
14,10,1,4.801323e+03
14,10,2,4.783684e+03
14,10,3,4.776168e+03
14,10,5,4.754528e+03
14,10,10,4.707719e+03
14,10,20,4.631796e+03
14,10,30,2.032886e+03
14,10,40,2.028535e+03
14,10,50,1.444126e+02
14,10,60,1.441320e+02
14,10,70,1.441320e+02
14,10,80,1.441320e+02
14,10,90,1.441320e+02
14,10,100,1.441320e+02
14,10,1,4.801323e+03
14,10,2,4.783684e+03
14,10,3,4.776168e+03
14,10,5,4.754528e+03
14,10,10,4.707719e+03
14,10,20,4.631796e+03
14,10,30,2.032886e+03
14,10,40,2.028535e+03
14,10,50,1.444126e+02
14,10,60,1.441320e+02
14,10,70,1.441320e+02
14,10,80,1.441320e+02
14,10,90,1.441320e+02
14,10,100,1.441320e+02
