funcid,dim,milestone,error
6,10,1,1.254681e+02
6,10,2,1.098791e+02
6,10,3,1.080698e+02
6,10,5,1.053917e+02
6,10,10,1.008953e+02
6,10,20,9.881160e+01
6,10,30,9.881160e+01
6,10,40,9.881160e+01
6,10,50,8.553559e+01
6,10,60,8.533430e+01
6,10,70,6.129505e+01
6,10,80,6.031850e+01
6,10,90,6.031850e+01
6,10,100,6.031850e+01
6,10,1,1.254681e+02
6,10,2,1.098791e+02
6,10,3,1.080698e+02
6,10,5,1.053917e+02
6,10,10,1.008953e+02
6,10,20,9.881160e+01
6,10,30,9.881160e+01
6,10,40,9.881160e+01
6,10,50,8.553559e+01
6,10,60,8.533430e+01
6,10,70,6.129505e+01
6,10,80,6.031850e+01
6,10,90,6.031850e+01
6,10,100,6.031850e+01
