funcid,dim,milestone,error
27,10,1,9.393220e+02
27,10,2,9.393220e+02
27,10,3,9.393220e+02
27,10,5,9.393220e+02
27,10,10,9.393220e+02
27,10,20,9.393220e+02
27,10,30,7.210035e+02
27,10,40,7.210035e+02
27,10,50,7.210035e+02
27,10,60,7.210035e+02
27,10,70,3.120439e+02
27,10,80,3.120439e+02
27,10,90,3.120439e+02
27,10,100,3.120439e+02
27,10,1,9.393220e+02
27,10,2,9.393220e+02
27,10,3,9.393220e+02
27,10,5,9.393220e+02
27,10,10,9.393220e+02
27,10,20,9.393220e+02
27,10,30,7.210035e+02
27,10,40,7.210035e+02
27,10,50,7.210035e+02
27,10,60,7.210035e+02
27,10,70,3.120439e+02
27,10,80,3.120439e+02
27,10,90,3.120439e+02
27,10,100,3.120439e+02
