funcid,dim,milestone,error
7,10,1,9.972098e+02
7,10,2,9.972095e+02
7,10,3,9.972095e+02
7,10,5,9.972095e+02
7,10,10,9.972095e+02
7,10,20,9.972095e+02
7,10,30,5.096231e+02
7,10,40,5.096231e+02
7,10,50,5.096231e+02
7,10,60,5.096231e+02
7,10,70,5.096231e+02
7,10,80,5.096231e+02
7,10,90,5.096231e+02
7,10,100,5.096231e+02
7,10,1,9.972098e+02
7,10,2,9.972095e+02
7,10,3,9.972095e+02
7,10,5,9.972095e+02
7,10,10,9.972095e+02
7,10,20,9.972095e+02
7,10,30,5.096231e+02
7,10,40,5.096231e+02
7,10,50,5.096231e+02
7,10,60,5.096231e+02
7,10,70,5.096231e+02
7,10,80,5.096231e+02
7,10,90,5.096231e+02
7,10,100,5.096231e+02
