funcid,dim,milestone,error
17,10,1,2.213886e+02
17,10,2,2.213886e+02
17,10,3,2.213886e+02
17,10,5,2.213886e+02
17,10,10,2.213886e+02
17,10,20,2.213886e+02
17,10,30,2.213886e+02
17,10,40,2.213886e+02
17,10,50,2.213886e+02
17,10,60,2.213886e+02
17,10,70,1.769162e+02
17,10,80,1.769162e+02
17,10,90,1.769162e+02
17,10,100,1.769162e+02
17,10,1,2.213886e+02
17,10,2,2.213886e+02
17,10,3,2.213886e+02
17,10,5,2.213886e+02
17,10,10,2.213886e+02
17,10,20,2.213886e+02
17,10,30,2.213886e+02
17,10,40,2.213886e+02
17,10,50,2.213886e+02
17,10,60,2.213886e+02
17,10,70,1.769162e+02
17,10,80,1.769162e+02
17,10,90,1.769162e+02
17,10,100,1.769162e+02
