funcid,dim,milestone,error
18,10,1,1.294393e+04
18,10,2,1.293883e+04
18,10,3,1.293232e+04
18,10,5,1.292305e+04
18,10,10,1.289636e+04
18,10,20,1.284025e+04
18,10,30,2.409944e+03
18,10,40,2.398223e+03
18,10,50,2.398223e+03
18,10,60,2.398223e+03
18,10,70,2.398223e+03
18,10,80,2.398223e+03
18,10,90,2.398223e+03
18,10,100,2.398223e+03
18,10,1,1.294393e+04
18,10,2,1.293883e+04
18,10,3,1.293232e+04
18,10,5,1.292305e+04
18,10,10,1.289636e+04
18,10,20,1.284025e+04
18,10,30,2.409944e+03
18,10,40,2.398223e+03
18,10,50,2.398223e+03
18,10,60,2.398223e+03
18,10,70,2.398223e+03
18,10,80,2.398223e+03
18,10,90,2.398223e+03
18,10,100,2.398223e+03
