funcid,dim,milestone,error
15,10,1,5.582217e+04
15,10,2,5.519386e+04
15,10,3,5.465852e+04
15,10,5,5.377078e+04
15,10,10,5.173924e+04
15,10,20,4.777559e+04
15,10,30,2.464605e+03
15,10,40,2.443716e+03
15,10,50,2.443716e+03
15,10,60,2.443716e+03
15,10,70,2.443716e+03
15,10,80,2.443716e+03
15,10,90,2.443716e+03
15,10,100,2.443716e+03
15,10,1,5.582217e+04
15,10,2,5.519386e+04
15,10,3,5.465852e+04
15,10,5,5.377078e+04
15,10,10,5.173924e+04
15,10,20,4.777559e+04
15,10,30,2.464605e+03
15,10,40,2.443716e+03
15,10,50,2.443716e+03
15,10,60,2.443716e+03
15,10,70,2.443716e+03
15,10,80,2.443716e+03
15,10,90,2.443716e+03
15,10,100,2.443716e+03
