funcid,dim,milestone,error
4,10,1,3.547988e+00
4,10,2,2.880129e+00
4,10,3,2.733212e+00
4,10,5,2.461911e+00
4,10,10,1.789946e+00
4,10,20,9.821062e-01
4,10,30,9.821062e-01
4,10,40,9.821062e-01
4,10,50,9.821062e-01
4,10,60,9.821062e-01
4,10,70,9.821062e-01
4,10,80,9.821062e-01
4,10,90,9.821062e-01
4,10,100,9.821062e-01
4,10,1,3.547988e+00
4,10,2,2.880129e+00
4,10,3,2.733212e+00
4,10,5,2.461911e+00
4,10,10,1.789946e+00
4,10,20,9.821062e-01
4,10,30,9.821062e-01
4,10,40,9.821062e-01
4,10,50,9.821062e-01
4,10,60,9.821062e-01
4,10,70,9.821062e-01
4,10,80,9.821062e-01
4,10,90,9.821062e-01
4,10,100,9.821062e-01
