funcid,dim,milestone,error
29,10,1,4.850024e+02
29,10,2,4.850024e+02
29,10,3,4.652855e+02
29,10,5,4.246287e+02
29,10,10,3.996424e+02
29,10,20,3.519315e+02
29,10,30,3.519315e+02
29,10,40,3.443854e+02
29,10,50,3.332811e+02
29,10,60,3.332811e+02
29,10,70,3.332811e+02
29,10,80,3.332811e+02
29,10,90,3.332811e+02
29,10,100,3.332811e+02
