funcid,dim,milestone,error
20,10,1,2.296152e+02
20,10,2,2.296152e+02
20,10,3,2.296152e+02
20,10,5,2.296152e+02
20,10,10,1.809108e+02
20,10,20,1.639491e+02
20,10,30,1.511615e+02
20,10,40,1.364331e+02
20,10,50,1.318003e+02
20,10,60,1.318003e+02
20,10,70,1.202330e+02
20,10,80,1.202330e+02
20,10,90,1.202330e+02
20,10,100,1.202330e+02
20,10,1,3.491488e+02
20,10,2,3.459568e+02
20,10,3,3.144002e+02
20,10,5,2.638873e+02
20,10,10,2.172611e+02
20,10,20,1.972402e+02
20,10,30,1.161715e+02
20,10,40,1.161715e+02
20,10,50,1.161715e+02
20,10,60,1.161715e+02
20,10,70,1.161715e+02
20,10,80,1.161715e+02
20,10,90,1.161715e+02
20,10,100,1.161715e+02
20,10,1,3.491488e+02
20,10,2,3.459568e+02
20,10,3,3.144002e+02
20,10,5,2.638873e+02
20,10,10,2.172611e+02
20,10,20,1.972402e+02
20,10,30,1.161715e+02
20,10,40,1.161715e+02
20,10,50,1.161715e+02
20,10,60,1.161715e+02
20,10,70,1.161715e+02
20,10,80,1.161715e+02
20,10,90,1.161715e+02
20,10,100,1.161715e+02
20,10,1,3.491488e+02
20,10,2,3.459568e+02
20,10,3,3.144002e+02
20,10,5,2.638873e+02
20,10,10,2.172611e+02
20,10,20,1.972402e+02
20,10,30,1.161715e+02
20,10,40,1.161715e+02
20,10,50,1.161715e+02
20,10,60,1.161715e+02
20,10,70,1.161715e+02
20,10,80,1.161715e+02
20,10,90,1.161715e+02
20,10,100,1.161715e+02
