funcid,dim,milestone,error
12,10,1,9.590464e+07
12,10,2,3.086748e+07
12,10,3,1.310536e+07
12,10,5,5.543941e+06
12,10,10,5.543941e+06
12,10,20,1.807124e+06
12,10,30,1.529181e+06
12,10,40,1.529181e+06
12,10,50,1.493262e+06
12,10,60,1.493262e+06
12,10,70,7.628958e+05
12,10,80,7.628958e+05
12,10,90,7.628958e+05
12,10,100,7.628958e+05
12,10,1,1.142823e+08
12,10,2,1.263993e+07
12,10,3,3.683978e+06
12,10,5,3.606988e+06
12,10,10,1.431159e+06
12,10,20,1.431159e+06
12,10,30,8.500557e+05
12,10,40,8.500557e+05
12,10,50,8.500557e+05
12,10,60,8.500557e+05
12,10,70,8.500557e+05
12,10,80,8.500557e+05
12,10,90,8.500557e+05
12,10,100,8.500557e+05
12,10,1,1.142823e+08
12,10,2,1.263993e+07
12,10,3,3.683978e+06
12,10,5,3.606988e+06
12,10,10,1.431159e+06
12,10,20,1.431159e+06
12,10,30,8.500557e+05
12,10,40,8.500557e+05
12,10,50,8.500557e+05
12,10,60,8.500557e+05
12,10,70,8.500557e+05
12,10,80,8.500557e+05
12,10,90,8.500557e+05
12,10,100,8.500557e+05
12,10,1,1.142823e+08
12,10,2,1.263993e+07
12,10,3,3.683978e+06
12,10,5,3.606988e+06
12,10,10,1.431159e+06
12,10,20,1.431159e+06
12,10,30,8.500557e+05
12,10,40,8.500557e+05
12,10,50,8.500557e+05
12,10,60,8.500557e+05
12,10,70,8.500557e+05
12,10,80,8.500557e+05
12,10,90,8.500557e+05
12,10,100,8.500557e+05
