funcid,dim,milestone,error
26,10,1,1.913942e+03
26,10,2,1.372680e+03
26,10,3,9.802584e+02
26,10,5,6.774326e+02
26,10,10,3.789275e+02
26,10,20,3.400153e+02
26,10,30,3.220781e+02
26,10,40,3.220781e+02
26,10,50,3.220781e+02
26,10,60,3.220781e+02
26,10,70,3.220781e+02
26,10,80,3.220781e+02
26,10,90,3.220781e+02
26,10,100,3.220781e+02
26,10,1,1.440420e+03
26,10,2,9.277497e+02
26,10,3,9.082511e+02
26,10,5,5.784615e+02
26,10,10,3.851211e+02
26,10,20,3.324722e+02
26,10,30,3.324722e+02
26,10,40,3.313462e+02
26,10,50,3.313462e+02
26,10,60,3.313462e+02
26,10,70,3.313462e+02
26,10,80,3.313462e+02
26,10,90,3.313462e+02
26,10,100,3.313462e+02
26,10,1,1.440420e+03
26,10,2,9.277497e+02
26,10,3,9.082511e+02
26,10,5,5.784615e+02
26,10,10,3.851211e+02
26,10,20,3.324722e+02
26,10,30,3.324722e+02
26,10,40,3.313462e+02
26,10,50,3.313462e+02
26,10,60,3.313462e+02
26,10,70,3.313462e+02
26,10,80,3.313462e+02
26,10,90,3.313462e+02
26,10,100,3.313462e+02
26,10,1,1.440420e+03
26,10,2,9.277497e+02
26,10,3,9.082511e+02
26,10,5,5.784615e+02
26,10,10,3.851211e+02
26,10,20,3.324722e+02
26,10,30,3.324722e+02
26,10,40,3.313462e+02
26,10,50,3.313462e+02
26,10,60,3.313462e+02
26,10,70,3.313462e+02
26,10,80,3.313462e+02
26,10,90,3.313462e+02
26,10,100,3.313462e+02
