funcid,dim,milestone,error
29,10,1,5.683118e+02
29,10,2,5.675600e+02
29,10,3,5.675600e+02
29,10,5,4.528856e+02
29,10,10,3.378264e+02
29,10,20,3.345704e+02
29,10,30,3.104493e+02
29,10,40,3.104493e+02
29,10,50,3.104493e+02
29,10,60,3.104493e+02
29,10,70,3.104493e+02
29,10,80,3.054392e+02
29,10,90,3.054392e+02
29,10,100,3.054392e+02
29,10,1,5.133731e+02
29,10,2,4.778849e+02
29,10,3,4.778849e+02
29,10,5,4.727605e+02
29,10,10,4.377687e+02
29,10,20,4.226398e+02
29,10,30,3.757835e+02
29,10,40,3.757835e+02
29,10,50,3.198661e+02
29,10,60,2.990182e+02
29,10,70,2.990182e+02
29,10,80,2.990182e+02
29,10,90,2.990182e+02
29,10,100,2.990182e+02
29,10,1,5.133731e+02
29,10,2,4.778849e+02
29,10,3,4.778849e+02
29,10,5,4.727605e+02
29,10,10,4.377687e+02
29,10,20,4.226398e+02
29,10,30,3.757835e+02
29,10,40,3.757835e+02
29,10,50,3.198661e+02
29,10,60,2.990182e+02
29,10,70,2.990182e+02
29,10,80,2.990182e+02
29,10,90,2.990182e+02
29,10,100,2.990182e+02
29,10,1,5.133731e+02
29,10,2,4.778849e+02
29,10,3,4.778849e+02
29,10,5,4.727605e+02
29,10,10,4.377687e+02
29,10,20,4.226398e+02
29,10,30,3.757835e+02
29,10,40,3.757835e+02
29,10,50,3.198661e+02
29,10,60,2.990182e+02
29,10,70,2.990182e+02
29,10,80,2.990182e+02
29,10,90,2.990182e+02
29,10,100,2.990182e+02
