funcid,dim,milestone,error
9,10,1,1.439848e+03
9,10,2,8.712157e+02
9,10,3,5.444812e+02
9,10,5,5.327239e+02
9,10,10,2.155437e+02
9,10,20,3.164675e+01
9,10,30,1.595144e+01
9,10,40,1.595144e+01
9,10,50,1.595144e+01
9,10,60,1.595144e+01
9,10,70,1.595144e+01
9,10,80,1.595144e+01
9,10,90,1.595144e+01
9,10,100,1.595144e+01
9,10,1,1.722089e+03
9,10,2,1.466417e+03
9,10,3,1.215884e+03
9,10,5,4.440656e+02
9,10,10,1.959660e+02
9,10,20,1.233694e+01
9,10,30,1.233694e+01
9,10,40,1.233694e+01
9,10,50,1.233694e+01
9,10,60,1.233694e+01
9,10,70,1.233694e+01
9,10,80,1.233694e+01
9,10,90,1.233694e+01
9,10,100,8.079161e+00
9,10,1,1.722089e+03
9,10,2,1.466417e+03
9,10,3,1.215884e+03
9,10,5,4.440656e+02
9,10,10,1.959660e+02
9,10,20,1.233694e+01
9,10,30,1.233694e+01
9,10,40,1.233694e+01
9,10,50,1.233694e+01
9,10,60,1.233694e+01
9,10,70,1.233694e+01
9,10,80,1.233694e+01
9,10,90,1.233694e+01
9,10,100,8.079161e+00
9,10,1,1.722089e+03
9,10,2,1.466417e+03
9,10,3,1.215884e+03
9,10,5,4.440656e+02
9,10,10,1.959660e+02
9,10,20,1.233694e+01
9,10,30,1.233694e+01
9,10,40,1.233694e+01
9,10,50,1.233694e+01
9,10,60,1.233694e+01
9,10,70,1.233694e+01
9,10,80,1.233694e+01
9,10,90,1.233694e+01
9,10,100,8.079161e+00
