funcid,dim,milestone,error
22,10,1,2.197197e+02
22,10,2,1.185070e+02
22,10,3,8.656661e+01
22,10,5,6.979945e+01
22,10,10,5.947405e+01
22,10,20,5.947405e+01
22,10,30,4.557701e+01
22,10,40,4.557701e+01
22,10,50,4.557701e+01
22,10,60,4.557701e+01
22,10,70,4.557701e+01
22,10,80,4.557701e+01
22,10,90,4.557701e+01
22,10,100,4.557701e+01
22,10,1,6.645391e+02
22,10,2,1.418275e+02
22,10,3,9.747485e+01
22,10,5,9.747485e+01
22,10,10,7.339716e+01
22,10,20,5.683663e+01
22,10,30,5.511701e+01
22,10,40,4.755275e+01
22,10,50,4.755275e+01
22,10,60,4.755275e+01
22,10,70,4.755275e+01
22,10,80,4.755275e+01
22,10,90,4.755275e+01
22,10,100,4.755275e+01
22,10,1,6.645391e+02
22,10,2,1.418275e+02
22,10,3,9.747485e+01
22,10,5,9.747485e+01
22,10,10,7.339716e+01
22,10,20,5.683663e+01
22,10,30,5.511701e+01
22,10,40,4.755275e+01
22,10,50,4.755275e+01
22,10,60,4.755275e+01
22,10,70,4.755275e+01
22,10,80,4.755275e+01
22,10,90,4.755275e+01
22,10,100,4.755275e+01
22,10,1,6.645391e+02
22,10,2,1.418275e+02
22,10,3,9.747485e+01
22,10,5,9.747485e+01
22,10,10,7.339716e+01
22,10,20,5.683663e+01
22,10,30,5.511701e+01
22,10,40,4.755275e+01
22,10,50,4.755275e+01
22,10,60,4.755275e+01
22,10,70,4.755275e+01
22,10,80,4.755275e+01
22,10,90,4.755275e+01
22,10,100,4.755275e+01
