funcid,dim,milestone,error
30,10,1,8.476137e+06
30,10,2,2.088802e+06
30,10,3,1.336768e+06
30,10,5,2.279831e+05
30,10,10,7.060226e+04
30,10,20,3.583159e+04
30,10,30,1.575742e+04
30,10,40,1.050933e+04
30,10,50,1.050933e+04
30,10,60,1.050933e+04
30,10,70,1.050933e+04
30,10,80,1.050933e+04
30,10,90,1.050933e+04
30,10,100,1.050933e+04
30,10,1,8.315693e+06
30,10,2,4.230637e+06
30,10,3,2.785605e+06
30,10,5,6.055202e+05
30,10,10,3.164448e+04
30,10,20,6.853426e+03
30,10,30,4.556485e+03
30,10,40,4.556485e+03
30,10,50,4.556485e+03
30,10,60,4.556485e+03
30,10,70,4.556485e+03
30,10,80,4.556485e+03
30,10,90,4.556485e+03
30,10,100,4.556485e+03
30,10,1,8.315693e+06
30,10,2,4.230637e+06
30,10,3,2.785605e+06
30,10,5,6.055202e+05
30,10,10,3.164448e+04
30,10,20,6.853426e+03
30,10,30,4.556485e+03
30,10,40,4.556485e+03
30,10,50,4.556485e+03
30,10,60,4.556485e+03
30,10,70,4.556485e+03
30,10,80,4.556485e+03
30,10,90,4.556485e+03
30,10,100,4.556485e+03
30,10,1,8.315693e+06
30,10,2,4.230637e+06
30,10,3,2.785605e+06
30,10,5,6.055202e+05
30,10,10,3.164448e+04
30,10,20,6.853426e+03
30,10,30,4.556485e+03
30,10,40,4.556485e+03
30,10,50,4.556485e+03
30,10,60,4.556485e+03
30,10,70,4.556485e+03
30,10,80,4.556485e+03
30,10,90,4.556485e+03
30,10,100,4.556485e+03
