funcid,dim,milestone,error
13,10,1,3.582720e+05
13,10,2,3.582720e+05
13,10,3,1.991714e+05
13,10,5,4.884330e+04
13,10,10,4.884330e+04
13,10,20,2.222168e+04
13,10,30,2.222168e+04
13,10,40,2.222168e+04
13,10,50,2.222168e+04
13,10,60,2.222168e+04
13,10,70,2.031146e+04
13,10,80,2.031146e+04
13,10,90,2.031146e+04
13,10,100,7.904718e+03
13,10,1,1.142871e+05
13,10,2,2.706852e+04
13,10,3,2.706852e+04
13,10,5,2.706852e+04
13,10,10,5.838616e+03
13,10,20,5.838616e+03
13,10,30,5.838616e+03
13,10,40,5.838616e+03
13,10,50,5.838616e+03
13,10,60,5.838616e+03
13,10,70,5.838616e+03
13,10,80,5.838616e+03
13,10,90,5.838616e+03
13,10,100,5.838616e+03
13,10,1,1.142871e+05
13,10,2,2.706852e+04
13,10,3,2.706852e+04
13,10,5,2.706852e+04
13,10,10,5.838616e+03
13,10,20,5.838616e+03
13,10,30,5.838616e+03
13,10,40,5.838616e+03
13,10,50,5.838616e+03
13,10,60,5.838616e+03
13,10,70,5.838616e+03
13,10,80,5.838616e+03
13,10,90,5.838616e+03
13,10,100,5.838616e+03
13,10,1,1.142871e+05
13,10,2,2.706852e+04
13,10,3,2.706852e+04
13,10,5,2.706852e+04
13,10,10,5.838616e+03
13,10,20,5.838616e+03
13,10,30,5.838616e+03
13,10,40,5.838616e+03
13,10,50,5.838616e+03
13,10,60,5.838616e+03
13,10,70,5.838616e+03
13,10,80,5.838616e+03
13,10,90,5.838616e+03
13,10,100,5.838616e+03
