funcid,dim,milestone,error
24,10,1,4.175117e+02
24,10,2,3.221193e+02
24,10,3,2.400561e+02
24,10,5,1.412059e+02
24,10,10,1.309660e+02
24,10,20,1.252269e+02
24,10,30,1.213718e+02
24,10,40,1.213718e+02
24,10,50,1.213718e+02
24,10,60,1.213718e+02
24,10,70,1.209479e+02
24,10,80,1.194329e+02
24,10,90,1.194329e+02
24,10,100,1.194329e+02
24,10,1,4.057603e+02
24,10,2,3.051914e+02
24,10,3,2.050513e+02
24,10,5,1.664437e+02
24,10,10,1.263197e+02
24,10,20,1.263197e+02
24,10,30,1.263197e+02
24,10,40,1.263197e+02
24,10,50,1.254965e+02
24,10,60,1.254965e+02
24,10,70,1.254965e+02
24,10,80,1.254965e+02
24,10,90,1.239286e+02
24,10,100,1.239286e+02
24,10,1,4.057603e+02
24,10,2,3.051914e+02
24,10,3,2.050513e+02
24,10,5,1.664437e+02
24,10,10,1.263197e+02
24,10,20,1.263197e+02
24,10,30,1.263197e+02
24,10,40,1.263197e+02
24,10,50,1.254965e+02
24,10,60,1.254965e+02
24,10,70,1.254965e+02
24,10,80,1.254965e+02
24,10,90,1.239286e+02
24,10,100,1.239286e+02
24,10,1,4.057603e+02
24,10,2,3.051914e+02
24,10,3,2.050513e+02
24,10,5,1.664437e+02
24,10,10,1.263197e+02
24,10,20,1.263197e+02
24,10,30,1.263197e+02
24,10,40,1.263197e+02
24,10,50,1.254965e+02
24,10,60,1.254965e+02
24,10,70,1.254965e+02
24,10,80,1.254965e+02
24,10,90,1.239286e+02
24,10,100,1.239286e+02
