funcid,dim,milestone,error
11,10,1,9.989898e+02
11,10,2,3.520041e+02
11,10,3,2.948600e+02
11,10,5,2.589952e+02
11,10,10,1.257975e+02
11,10,20,5.733477e+01
11,10,30,3.102149e+01
11,10,40,3.036032e+01
11,10,50,2.580911e+01
11,10,60,2.580911e+01
11,10,70,2.580911e+01
11,10,80,2.029965e+01
11,10,90,2.029965e+01
11,10,100,2.029965e+01
11,10,1,1.169115e+03
11,10,2,6.204788e+02
11,10,3,2.794569e+02
11,10,5,2.229729e+02
11,10,10,1.340403e+02
11,10,20,9.721122e+01
11,10,30,8.089818e+01
11,10,40,8.089818e+01
11,10,50,8.089818e+01
11,10,60,8.089818e+01
11,10,70,8.089818e+01
11,10,80,8.089818e+01
11,10,90,8.089818e+01
11,10,100,8.089818e+01
11,10,1,1.169115e+03
11,10,2,6.204788e+02
11,10,3,2.794569e+02
11,10,5,2.229729e+02
11,10,10,1.340403e+02
11,10,20,9.721122e+01
11,10,30,8.089818e+01
11,10,40,8.089818e+01
11,10,50,8.089818e+01
11,10,60,8.089818e+01
11,10,70,8.089818e+01
11,10,80,8.089818e+01
11,10,90,8.089818e+01
11,10,100,8.089818e+01
11,10,1,1.169115e+03
11,10,2,6.204788e+02
11,10,3,2.794569e+02
11,10,5,2.229729e+02
11,10,10,1.340403e+02
11,10,20,9.721122e+01
11,10,30,8.089818e+01
11,10,40,8.089818e+01
11,10,50,8.089818e+01
11,10,60,8.089818e+01
11,10,70,8.089818e+01
11,10,80,8.089818e+01
11,10,90,8.089818e+01
11,10,100,8.089818e+01
