funcid,dim,milestone,error
8,10,1,7.249427e+01
8,10,2,7.249427e+01
8,10,3,5.328940e+01
8,10,5,5.328940e+01
8,10,10,5.328940e+01
8,10,20,5.328940e+01
8,10,30,5.328940e+01
8,10,40,5.328940e+01
8,10,50,5.328940e+01
8,10,60,5.328940e+01
8,10,70,5.328940e+01
8,10,80,5.328940e+01
8,10,90,5.328940e+01
8,10,100,5.328940e+01
8,10,1,8.054450e+01
8,10,2,8.054450e+01
8,10,3,8.054450e+01
8,10,5,6.482438e+01
8,10,10,6.482438e+01
8,10,20,5.828503e+01
8,10,30,4.133409e+01
8,10,40,4.133409e+01
8,10,50,4.133409e+01
8,10,60,4.133409e+01
8,10,70,4.133409e+01
8,10,80,4.133409e+01
8,10,90,4.133409e+01
8,10,100,4.133409e+01
8,10,1,8.054450e+01
8,10,2,8.054450e+01
8,10,3,8.054450e+01
8,10,5,6.482438e+01
8,10,10,6.482438e+01
8,10,20,5.828503e+01
8,10,30,4.133409e+01
8,10,40,4.133409e+01
8,10,50,4.133409e+01
8,10,60,4.133409e+01
8,10,70,4.133409e+01
8,10,80,4.133409e+01
8,10,90,4.133409e+01
8,10,100,4.133409e+01
8,10,1,8.054450e+01
8,10,2,8.054450e+01
8,10,3,8.054450e+01
8,10,5,6.482438e+01
8,10,10,6.482438e+01
8,10,20,5.828503e+01
8,10,30,4.133409e+01
8,10,40,4.133409e+01
8,10,50,4.133409e+01
8,10,60,4.133409e+01
8,10,70,4.133409e+01
8,10,80,4.133409e+01
8,10,90,4.133409e+01
8,10,100,4.133409e+01
