funcid,dim,milestone,error
14,10,1,5.400364e+02
14,10,2,5.400364e+02
14,10,3,5.400364e+02
14,10,5,5.400364e+02
14,10,10,1.667604e+02
14,10,20,1.248440e+02
14,10,30,1.248440e+02
14,10,40,1.248440e+02
14,10,50,9.750428e+01
14,10,60,9.750428e+01
14,10,70,9.750428e+01
14,10,80,9.750428e+01
14,10,90,9.750428e+01
14,10,100,9.750428e+01
14,10,1,3.432997e+03
14,10,2,8.717559e+02
14,10,3,7.321290e+02
14,10,5,7.321290e+02
14,10,10,4.401276e+02
14,10,20,4.401276e+02
14,10,30,4.401276e+02
14,10,40,3.744625e+02
14,10,50,2.484027e+02
14,10,60,2.484027e+02
14,10,70,2.484027e+02
14,10,80,2.484027e+02
14,10,90,2.484027e+02
14,10,100,2.484027e+02
14,10,1,3.432997e+03
14,10,2,8.717559e+02
14,10,3,7.321290e+02
14,10,5,7.321290e+02
14,10,10,4.401276e+02
14,10,20,4.401276e+02
14,10,30,4.401276e+02
14,10,40,3.744625e+02
14,10,50,2.484027e+02
14,10,60,2.484027e+02
14,10,70,2.484027e+02
14,10,80,2.484027e+02
14,10,90,2.484027e+02
14,10,100,2.484027e+02
14,10,1,3.432997e+03
14,10,2,8.717559e+02
14,10,3,7.321290e+02
14,10,5,7.321290e+02
14,10,10,4.401276e+02
14,10,20,4.401276e+02
14,10,30,4.401276e+02
14,10,40,3.744625e+02
14,10,50,2.484027e+02
14,10,60,2.484027e+02
14,10,70,2.484027e+02
14,10,80,2.484027e+02
14,10,90,2.484027e+02
14,10,100,2.484027e+02
