funcid,dim,milestone,error
2,10,1,1.538330e+10
2,10,2,5.246241e+09
2,10,3,1.125320e+08
2,10,5,1.785718e+06
2,10,10,5.955250e+05
2,10,20,3.005500e+04
2,10,30,3.005500e+04
2,10,40,4.649000e+03
2,10,50,3.711000e+03
2,10,60,3.711000e+03
2,10,70,3.600000e+03
2,10,80,4.000000e+01
2,10,90,4.000000e+01
2,10,100,4.000000e+01
2,10,1,4.821265e+09
2,10,2,2.606644e+08
2,10,3,2.092738e+08
2,10,5,1.391319e+07
2,10,10,1.089247e+06
2,10,20,1.901500e+05
2,10,30,1.305490e+05
2,10,40,1.305490e+05
2,10,50,1.305490e+05
2,10,60,1.305490e+05
2,10,70,1.305490e+05
2,10,80,1.305490e+05
2,10,90,1.305490e+05
2,10,100,1.305490e+05
2,10,1,4.821265e+09
2,10,2,2.606644e+08
2,10,3,2.092738e+08
2,10,5,1.391319e+07
2,10,10,1.089247e+06
2,10,20,1.901500e+05
2,10,30,1.305490e+05
2,10,40,1.305490e+05
2,10,50,1.305490e+05
2,10,60,1.305490e+05
2,10,70,1.305490e+05
2,10,80,1.305490e+05
2,10,90,1.305490e+05
2,10,100,1.305490e+05
2,10,1,4.821265e+09
2,10,2,2.606644e+08
2,10,3,2.092738e+08
2,10,5,1.391319e+07
2,10,10,1.089247e+06
2,10,20,1.901500e+05
2,10,30,1.305490e+05
2,10,40,1.305490e+05
2,10,50,1.305490e+05
2,10,60,1.305490e+05
2,10,70,1.305490e+05
2,10,80,1.305490e+05
2,10,90,1.305490e+05
2,10,100,1.305490e+05
