funcid,dim,milestone,error
16,10,1,5.128079e+02
16,10,2,3.565532e+02
16,10,3,3.565532e+02
16,10,5,3.201110e+02
16,10,10,1.738684e+02
16,10,20,1.738684e+02
16,10,30,1.553041e+02
16,10,40,1.225116e+02
16,10,50,7.117910e+01
16,10,60,7.117910e+01
16,10,70,7.117910e+01
16,10,80,7.117910e+01
16,10,90,7.117910e+01
16,10,100,7.117910e+01
16,10,1,6.917641e+02
16,10,2,6.917641e+02
16,10,3,4.393043e+02
16,10,5,3.060305e+02
16,10,10,3.060305e+02
16,10,20,1.193979e+02
16,10,30,1.193979e+02
16,10,40,1.193979e+02
16,10,50,1.193979e+02
16,10,60,1.193979e+02
16,10,70,1.193979e+02
16,10,80,1.193979e+02
16,10,90,1.193979e+02
16,10,100,1.193979e+02
16,10,1,6.917641e+02
16,10,2,6.917641e+02
16,10,3,4.393043e+02
16,10,5,3.060305e+02
16,10,10,3.060305e+02
16,10,20,1.193979e+02
16,10,30,1.193979e+02
16,10,40,1.193979e+02
16,10,50,1.193979e+02
16,10,60,1.193979e+02
16,10,70,1.193979e+02
16,10,80,1.193979e+02
16,10,90,1.193979e+02
16,10,100,1.193979e+02
16,10,1,6.917641e+02
16,10,2,6.917641e+02
16,10,3,4.393043e+02
16,10,5,3.060305e+02
16,10,10,3.060305e+02
16,10,20,1.193979e+02
16,10,30,1.193979e+02
16,10,40,1.193979e+02
16,10,50,1.193979e+02
16,10,60,1.193979e+02
16,10,70,1.193979e+02
16,10,80,1.193979e+02
16,10,90,1.193979e+02
16,10,100,1.193979e+02
