funcid,dim,milestone,error
25,10,1,6.947075e+02
25,10,2,4.837001e+02
25,10,3,4.600630e+02
25,10,5,4.327066e+02
25,10,10,3.524545e+02
25,10,20,3.165473e+02
25,10,30,3.061341e+02
25,10,40,2.919167e+02
25,10,50,2.734638e+02
25,10,60,2.734638e+02
25,10,70,2.442937e+02
25,10,80,2.442937e+02
25,10,90,2.442937e+02
25,10,100,2.442937e+02
25,10,1,5.976452e+02
25,10,2,5.013124e+02
25,10,3,4.735364e+02
25,10,5,4.532200e+02
25,10,10,4.166649e+02
25,10,20,4.075956e+02
25,10,30,4.075956e+02
25,10,40,4.075956e+02
25,10,50,4.075956e+02
25,10,60,4.075956e+02
25,10,70,4.075956e+02
25,10,80,4.075956e+02
25,10,90,4.075956e+02
25,10,100,4.075956e+02
25,10,1,5.976452e+02
25,10,2,5.013124e+02
25,10,3,4.735364e+02
25,10,5,4.532200e+02
25,10,10,4.166649e+02
25,10,20,4.075956e+02
25,10,30,4.075956e+02
25,10,40,4.075956e+02
25,10,50,4.075956e+02
25,10,60,4.075956e+02
25,10,70,4.075956e+02
25,10,80,4.075956e+02
25,10,90,4.075956e+02
25,10,100,4.075956e+02
25,10,1,5.976452e+02
25,10,2,5.013124e+02
25,10,3,4.735364e+02
25,10,5,4.532200e+02
25,10,10,4.166649e+02
25,10,20,4.075956e+02
25,10,30,4.075956e+02
25,10,40,4.075956e+02
25,10,50,4.075956e+02
25,10,60,4.075956e+02
25,10,70,4.075956e+02
25,10,80,4.075956e+02
25,10,90,4.075956e+02
25,10,100,4.075956e+02
