funcid,dim,milestone,error
27,10,1,4.631303e+02
27,10,2,4.631303e+02
27,10,3,4.199358e+02
27,10,5,3.985299e+02
27,10,10,3.875337e+02
27,10,20,3.764098e+02
27,10,30,3.764098e+02
27,10,40,3.764098e+02
27,10,50,3.764098e+02
27,10,60,3.764098e+02
27,10,70,3.764098e+02
27,10,80,3.764098e+02
27,10,90,3.762731e+02
27,10,100,3.762731e+02
27,10,1,4.129133e+02
27,10,2,4.129133e+02
27,10,3,3.978601e+02
27,10,5,3.809910e+02
27,10,10,3.772137e+02
27,10,20,3.753322e+02
27,10,30,3.753322e+02
27,10,40,3.753322e+02
27,10,50,3.753322e+02
27,10,60,3.753322e+02
27,10,70,3.753322e+02
27,10,80,3.753322e+02
27,10,90,3.753322e+02
27,10,100,3.753322e+02
27,10,1,4.129133e+02
27,10,2,4.129133e+02
27,10,3,3.978601e+02
27,10,5,3.809910e+02
27,10,10,3.772137e+02
27,10,20,3.753322e+02
27,10,30,3.753322e+02
27,10,40,3.753322e+02
27,10,50,3.753322e+02
27,10,60,3.753322e+02
27,10,70,3.753322e+02
27,10,80,3.753322e+02
27,10,90,3.753322e+02
27,10,100,3.753322e+02
27,10,1,4.129133e+02
27,10,2,4.129133e+02
27,10,3,3.978601e+02
27,10,5,3.809910e+02
27,10,10,3.772137e+02
27,10,20,3.753322e+02
27,10,30,3.753322e+02
27,10,40,3.753322e+02
27,10,50,3.753322e+02
27,10,60,3.753322e+02
27,10,70,3.753322e+02
27,10,80,3.753322e+02
27,10,90,3.753322e+02
27,10,100,3.753322e+02
