funcid,dim,milestone,error
23,10,1,4.271792e+02
23,10,2,4.209565e+02
23,10,3,3.946427e+02
23,10,5,3.622664e+02
23,10,10,3.571174e+02
23,10,20,3.510480e+02
23,10,30,3.487974e+02
23,10,40,3.460802e+02
23,10,50,3.430823e+02
23,10,60,3.409341e+02
23,10,70,3.373883e+02
23,10,80,3.373883e+02
23,10,90,3.373883e+02
23,10,100,3.373883e+02
23,10,1,4.475632e+02
23,10,2,3.961328e+02
23,10,3,3.961328e+02
23,10,5,3.770700e+02
23,10,10,3.740323e+02
23,10,20,3.416705e+02
23,10,30,3.416705e+02
23,10,40,3.416705e+02
23,10,50,3.416705e+02
23,10,60,3.416705e+02
23,10,70,3.416705e+02
23,10,80,3.416705e+02
23,10,90,3.416705e+02
23,10,100,3.416705e+02
23,10,1,4.475632e+02
23,10,2,3.961328e+02
23,10,3,3.961328e+02
23,10,5,3.770700e+02
23,10,10,3.740323e+02
23,10,20,3.416705e+02
23,10,30,3.416705e+02
23,10,40,3.416705e+02
23,10,50,3.416705e+02
23,10,60,3.416705e+02
23,10,70,3.416705e+02
23,10,80,3.416705e+02
23,10,90,3.416705e+02
23,10,100,3.416705e+02
23,10,1,4.475632e+02
23,10,2,3.961328e+02
23,10,3,3.961328e+02
23,10,5,3.770700e+02
23,10,10,3.740323e+02
23,10,20,3.416705e+02
23,10,30,3.416705e+02
23,10,40,3.416705e+02
23,10,50,3.416705e+02
23,10,60,3.416705e+02
23,10,70,3.416705e+02
23,10,80,3.416705e+02
23,10,90,3.416705e+02
23,10,100,3.416705e+02
