funcid,dim,milestone,error
4,10,1,6.084741e+02
4,10,2,2.353150e+02
4,10,3,6.720379e+01
4,10,5,1.805540e+01
4,10,10,1.493175e+01
4,10,20,7.487978e+00
4,10,30,7.487978e+00
4,10,40,7.487978e+00
4,10,50,6.794462e+00
4,10,60,6.794462e+00
4,10,70,6.794462e+00
4,10,80,6.794462e+00
4,10,90,6.794462e+00
4,10,100,6.794462e+00
4,10,1,4.684977e+02
4,10,2,5.801446e+01
4,10,3,4.960514e+01
4,10,5,2.294733e+01
4,10,10,1.211557e+01
4,10,20,8.970180e+00
4,10,30,8.970180e+00
4,10,40,8.933733e+00
4,10,50,8.933733e+00
4,10,60,8.267092e+00
4,10,70,8.267092e+00
4,10,80,8.267092e+00
4,10,90,8.267092e+00
4,10,100,8.267092e+00
4,10,1,4.684977e+02
4,10,2,5.801446e+01
4,10,3,4.960514e+01
4,10,5,2.294733e+01
4,10,10,1.211557e+01
4,10,20,8.970180e+00
4,10,30,8.970180e+00
4,10,40,8.933733e+00
4,10,50,8.933733e+00
4,10,60,8.267092e+00
4,10,70,8.267092e+00
4,10,80,8.267092e+00
4,10,90,8.267092e+00
4,10,100,8.267092e+00
4,10,1,4.684977e+02
4,10,2,5.801446e+01
4,10,3,4.960514e+01
4,10,5,2.294733e+01
4,10,10,1.211557e+01
4,10,20,8.970180e+00
4,10,30,8.970180e+00
4,10,40,8.933733e+00
4,10,50,8.933733e+00
4,10,60,8.267092e+00
4,10,70,8.267092e+00
4,10,80,8.267092e+00
4,10,90,8.267092e+00
4,10,100,8.267092e+00
