funcid,dim,milestone,error
7,10,1,2.000483e+02
7,10,2,8.889068e+01
7,10,3,8.889068e+01
7,10,5,7.412065e+01
7,10,10,6.044918e+01
7,10,20,5.085197e+01
7,10,30,5.064633e+01
7,10,40,5.064633e+01
7,10,50,3.872298e+01
7,10,60,3.872298e+01
7,10,70,3.872298e+01
7,10,80,3.872298e+01
7,10,90,3.847253e+01
7,10,100,3.786274e+01
7,10,1,2.049737e+02
7,10,2,1.396354e+02
7,10,3,8.826788e+01
7,10,5,8.536241e+01
7,10,10,6.995143e+01
7,10,20,6.197977e+01
7,10,30,6.197977e+01
7,10,40,6.039236e+01
7,10,50,6.039236e+01
7,10,60,6.039236e+01
7,10,70,6.039236e+01
7,10,80,6.039236e+01
7,10,90,5.909322e+01
7,10,100,5.909322e+01
7,10,1,2.049737e+02
7,10,2,1.396354e+02
7,10,3,8.826788e+01
7,10,5,8.536241e+01
7,10,10,6.995143e+01
7,10,20,6.197977e+01
7,10,30,6.197977e+01
7,10,40,6.039236e+01
7,10,50,6.039236e+01
7,10,60,6.039236e+01
7,10,70,6.039236e+01
7,10,80,6.039236e+01
7,10,90,5.909322e+01
7,10,100,5.909322e+01
7,10,1,2.049737e+02
7,10,2,1.396354e+02
7,10,3,8.826788e+01
7,10,5,8.536241e+01
7,10,10,6.995143e+01
7,10,20,6.197977e+01
7,10,30,6.197977e+01
7,10,40,6.039236e+01
7,10,50,6.039236e+01
7,10,60,6.039236e+01
7,10,70,6.039236e+01
7,10,80,6.039236e+01
7,10,90,5.909322e+01
7,10,100,5.909322e+01
