funcid,dim,milestone,error
15,10,1,9.229216e+03
15,10,2,9.229216e+03
15,10,3,9.229216e+03
15,10,5,4.320300e+03
15,10,10,1.771255e+03
15,10,20,6.229619e+02
15,10,30,3.612747e+02
15,10,40,2.534086e+02
15,10,50,2.534086e+02
15,10,60,2.534086e+02
15,10,70,2.534086e+02
15,10,80,1.488022e+02
15,10,90,1.488022e+02
15,10,100,1.488022e+02
15,10,1,3.812798e+03
15,10,2,3.213044e+03
15,10,3,3.213044e+03
15,10,5,3.213044e+03
15,10,10,3.448063e+02
15,10,20,3.448063e+02
15,10,30,3.448063e+02
15,10,40,3.448063e+02
15,10,50,3.448063e+02
15,10,60,3.448063e+02
15,10,70,3.448063e+02
15,10,80,3.448063e+02
15,10,90,3.448063e+02
15,10,100,3.448063e+02
15,10,1,3.812798e+03
15,10,2,3.213044e+03
15,10,3,3.213044e+03
15,10,5,3.213044e+03
15,10,10,3.448063e+02
15,10,20,3.448063e+02
15,10,30,3.448063e+02
15,10,40,3.448063e+02
15,10,50,3.448063e+02
15,10,60,3.448063e+02
15,10,70,3.448063e+02
15,10,80,3.448063e+02
15,10,90,3.448063e+02
15,10,100,3.448063e+02
15,10,1,3.812798e+03
15,10,2,3.213044e+03
15,10,3,3.213044e+03
15,10,5,3.213044e+03
15,10,10,3.448063e+02
15,10,20,3.448063e+02
15,10,30,3.448063e+02
15,10,40,3.448063e+02
15,10,50,3.448063e+02
15,10,60,3.448063e+02
15,10,70,3.448063e+02
15,10,80,3.448063e+02
15,10,90,3.448063e+02
15,10,100,3.448063e+02
