funcid,dim,milestone,error
17,10,1,2.387368e+02
17,10,2,2.195533e+02
17,10,3,1.270880e+02
17,10,5,1.270880e+02
17,10,10,1.270880e+02
17,10,20,8.373753e+01
17,10,30,8.373753e+01
17,10,40,8.373753e+01
17,10,50,7.829752e+01
17,10,60,7.425400e+01
17,10,70,7.425400e+01
17,10,80,7.425400e+01
17,10,90,7.425400e+01
17,10,100,7.151593e+01
17,10,1,2.430556e+02
17,10,2,1.047122e+02
17,10,3,1.047122e+02
17,10,5,1.047122e+02
17,10,10,1.047122e+02
17,10,20,1.038222e+02
17,10,30,8.342601e+01
17,10,40,8.342601e+01
17,10,50,8.342601e+01
17,10,60,8.342601e+01
17,10,70,8.342601e+01
17,10,80,8.342601e+01
17,10,90,8.342601e+01
17,10,100,8.342601e+01
17,10,1,2.430556e+02
17,10,2,1.047122e+02
17,10,3,1.047122e+02
17,10,5,1.047122e+02
17,10,10,1.047122e+02
17,10,20,1.038222e+02
17,10,30,8.342601e+01
17,10,40,8.342601e+01
17,10,50,8.342601e+01
17,10,60,8.342601e+01
17,10,70,8.342601e+01
17,10,80,8.342601e+01
17,10,90,8.342601e+01
17,10,100,8.342601e+01
17,10,1,2.430556e+02
17,10,2,1.047122e+02
17,10,3,1.047122e+02
17,10,5,1.047122e+02
17,10,10,1.047122e+02
17,10,20,1.038222e+02
17,10,30,8.342601e+01
17,10,40,8.342601e+01
17,10,50,8.342601e+01
17,10,60,8.342601e+01
17,10,70,8.342601e+01
17,10,80,8.342601e+01
17,10,90,8.342601e+01
17,10,100,8.342601e+01
