funcid,dim,milestone,error
6,10,1,5.370092e+01
6,10,2,5.116201e+01
6,10,3,4.960920e+01
6,10,5,3.858023e+01
6,10,10,2.172981e+01
6,10,20,1.009388e+01
6,10,30,9.468072e+00
6,10,40,8.720948e+00
6,10,50,8.720948e+00
6,10,60,8.720948e+00
6,10,70,8.720948e+00
6,10,80,8.266698e+00
6,10,90,8.266698e+00
6,10,100,8.266698e+00
6,10,1,5.471727e+01
6,10,2,4.714862e+01
6,10,3,3.898644e+01
6,10,5,3.198594e+01
6,10,10,2.341000e+01
6,10,20,1.762164e+01
6,10,30,1.142534e+01
6,10,40,8.675308e+00
6,10,50,5.931886e+00
6,10,60,5.931886e+00
6,10,70,5.931886e+00
6,10,80,5.931886e+00
6,10,90,5.825792e+00
6,10,100,5.825792e+00
6,10,1,5.471727e+01
6,10,2,4.714862e+01
6,10,3,3.898644e+01
6,10,5,3.198594e+01
6,10,10,2.341000e+01
6,10,20,1.762164e+01
6,10,30,1.142534e+01
6,10,40,8.675308e+00
6,10,50,5.931886e+00
6,10,60,5.931886e+00
6,10,70,5.931886e+00
6,10,80,5.931886e+00
6,10,90,5.825792e+00
6,10,100,5.825792e+00
6,10,1,5.471727e+01
6,10,2,4.714862e+01
6,10,3,3.898644e+01
6,10,5,3.198594e+01
6,10,10,2.341000e+01
6,10,20,1.762164e+01
6,10,30,1.142534e+01
6,10,40,8.675308e+00
6,10,50,5.931886e+00
6,10,60,5.931886e+00
6,10,70,5.931886e+00
6,10,80,5.931886e+00
6,10,90,5.825792e+00
6,10,100,5.825792e+00
