funcid,dim,milestone,error
1,10,1,7.381032e+09
1,10,2,1.360229e+09
1,10,3,2.556786e+08
1,10,5,1.847886e+08
1,10,10,8.941101e+07
1,10,20,5.093330e+07
1,10,30,5.093330e+07
1,10,40,5.093330e+07
1,10,50,5.093330e+07
1,10,60,5.093330e+07
1,10,70,4.337384e+07
1,10,80,4.337384e+07
1,10,90,4.337384e+07
1,10,100,4.337384e+07
1,10,1,6.275983e+09
1,10,2,1.404801e+09
1,10,3,4.059477e+08
1,10,5,2.197953e+08
1,10,10,6.867687e+07
1,10,20,6.867687e+07
1,10,30,6.867687e+07
1,10,40,6.867687e+07
1,10,50,6.722334e+07
1,10,60,6.066645e+07
1,10,70,6.066645e+07
1,10,80,6.066645e+07
1,10,90,5.013087e+07
1,10,100,5.013087e+07
1,10,1,6.275983e+09
1,10,2,1.404801e+09
1,10,3,4.059477e+08
1,10,5,2.197953e+08
1,10,10,6.867687e+07
1,10,20,6.867687e+07
1,10,30,6.867687e+07
1,10,40,6.867687e+07
1,10,50,6.722334e+07
1,10,60,6.066645e+07
1,10,70,6.066645e+07
1,10,80,6.066645e+07
1,10,90,5.013087e+07
1,10,100,5.013087e+07
1,10,1,6.275983e+09
1,10,2,1.404801e+09
1,10,3,4.059477e+08
1,10,5,2.197953e+08
1,10,10,6.867687e+07
1,10,20,6.867687e+07
1,10,30,6.867687e+07
1,10,40,6.867687e+07
1,10,50,6.722334e+07
1,10,60,6.066645e+07
1,10,70,6.066645e+07
1,10,80,6.066645e+07
1,10,90,5.013087e+07
1,10,100,5.013087e+07
